1024,162396,163845.20000000001,165417,671.72713056049361
2048,288897,290661.83333333331,292305,944.69542923790448
3072,415025,416708.29999999999,430995,2783.0235375118236
4096,540876,543902.6333333333,557521,4858.1698447285562
5120,666995,669356.59999999998,682489,4289.7909088182041
6144,792471,795225.1333333333,808441,4383.8768052578935
7168,918740,921248.69999999995,935479,4607.0114342350407
8192,1045337,1049921.8,1062034,6577.7428913592839
16384,2052295,2056525.0333333334,2083465,8153.2057773078714
24576,3060228,3066426.8999999999,3089385,8081.4487534830287
32768,4067994,4076883.4666666668,4097934,8943.413537668217
40960,5075791,5080558.5666666664,5106304,8420.9161500247174
49152,6083613,6093953.5,6127310,11500.072076985522
57344,7091739,7107670.2666666666,7137003,13788.558652721475
65536,8098968,8112041.7666666666,8158761,14418.507944911335
131072,16160820,16189328.199999999,16219450,16758.7588265628
262144,32281806,32335872.166666668,32441188,32136.684119750807
393216,48418243,48485674.333333336,48564052,41019.27022950213
524288,64555316,64625698.233333334,64729830,38798.8617898136
655360,80692695,80778708.63333334,80876364,44500.760678103979
786432,96827241,96926249.566666663,97059655,58698.226111176918
917504,112949839,113078435.73333333,113225274,53474.485696892181
1048576,129086938,129216205.06666666,129318237,59888.52643895895
1572864,193718506,193803264.33333334,193917285,57293.03951605731
2097152,258276428,258438356.90000001,258631370,88634.930422433667
2621440,322851251,323016556.83333331,323248613,89935.523517026406
3145728,387414552,387604113.10000002,387834812,103329.16476412515
3670016,452042883,452201995.5,452467064,91968.307882342706
4194304,516529588,516780033.86666667,517041680,119388.40455442302
